,top,bottom,dress,outer,vest
0,purple_none_longsleeve,beige_none_longskirt,,gray_none_blazer,
1,purple_none_longsleeve,beige_none_longskirt,,brown_none_cardigan,
2,purple_none_longsleeve,beige_none_longskirt,,black_none_riderjacket,
3,purple_none_longsleeve,beige_none_longskirt,,gray_none_hoodie,
4,purple_none_longsleeve,beige_none_longskirt,,gray_none_cardigan,
5,purple_none_longsleeve,beige_none_longskirt,,black_none_hoodie,
6,purple_none_longsleeve,beige_none_longskirt,,black_none_cardigan,
7,purple_none_longsleeve,beige_none_longskirt,,black_none_ma1,
8,purple_none_longsleeve,beige_none_longskirt,,black_none_blazer,
9,purple_none_longsleeve,beige_none_longskirt,,blue_none_jacket,
10,purple_none_longsleeve,beige_none_longskirt,,brown_none_hoodie,
11,purple_none_longsleeve,beige_none_longskirt,,khaki_none_ma1,
12,purple_none_longsleeve,lightblue_none_longpants,,gray_none_blazer,
13,purple_none_longsleeve,lightblue_none_longpants,,brown_none_cardigan,
14,purple_none_longsleeve,lightblue_none_longpants,,black_none_riderjacket,
15,purple_none_longsleeve,lightblue_none_longpants,,gray_none_hoodie,
16,purple_none_longsleeve,lightblue_none_longpants,,gray_none_cardigan,
17,purple_none_longsleeve,lightblue_none_longpants,,black_none_hoodie,
18,purple_none_longsleeve,lightblue_none_longpants,,black_none_cardigan,
19,purple_none_longsleeve,lightblue_none_longpants,,black_none_ma1,
20,purple_none_longsleeve,lightblue_none_longpants,,black_none_blazer,
21,purple_none_longsleeve,lightblue_none_longpants,,blue_none_jacket,
22,purple_none_longsleeve,lightblue_none_longpants,,brown_none_hoodie,
23,purple_none_longsleeve,lightblue_none_longpants,,khaki_none_ma1,
24,purple_none_longsleeve,black_none_adidaslongpants,,gray_none_blazer,
25,purple_none_longsleeve,black_none_adidaslongpants,,brown_none_cardigan,
26,purple_none_longsleeve,black_none_adidaslongpants,,black_none_riderjacket,
27,purple_none_longsleeve,black_none_adidaslongpants,,gray_none_hoodie,
28,purple_none_longsleeve,black_none_adidaslongpants,,gray_none_cardigan,
29,purple_none_longsleeve,black_none_adidaslongpants,,black_none_hoodie,
30,purple_none_longsleeve,black_none_adidaslongpants,,black_none_cardigan,
31,purple_none_longsleeve,black_none_adidaslongpants,,black_none_ma1,
32,purple_none_longsleeve,black_none_adidaslongpants,,black_none_blazer,
33,purple_none_longsleeve,black_none_adidaslongpants,,blue_none_jacket,
34,purple_none_longsleeve,black_none_adidaslongpants,,brown_none_hoodie,
35,purple_none_longsleeve,black_none_adidaslongpants,,khaki_none_ma1,
36,purple_none_longsleeve,black_none_longskirt,,gray_none_blazer,
37,purple_none_longsleeve,black_none_longskirt,,brown_none_cardigan,
38,purple_none_longsleeve,black_none_longskirt,,black_none_riderjacket,
39,purple_none_longsleeve,black_none_longskirt,,gray_none_hoodie,
40,purple_none_longsleeve,black_none_longskirt,,gray_none_cardigan,
41,purple_none_longsleeve,black_none_longskirt,,black_none_hoodie,
42,purple_none_longsleeve,black_none_longskirt,,black_none_cardigan,
43,purple_none_longsleeve,black_none_longskirt,,black_none_ma1,
44,purple_none_longsleeve,black_none_longskirt,,black_none_blazer,
45,purple_none_longsleeve,black_none_longskirt,,blue_none_jacket,
46,purple_none_longsleeve,black_none_longskirt,,brown_none_hoodie,
47,purple_none_longsleeve,black_none_longskirt,,khaki_none_ma1,
48,purple_none_longsleeve,lightblue_none_shortskirt,,gray_none_blazer,
49,purple_none_longsleeve,lightblue_none_shortskirt,,brown_none_cardigan,
50,purple_none_longsleeve,lightblue_none_shortskirt,,black_none_riderjacket,
51,purple_none_longsleeve,lightblue_none_shortskirt,,gray_none_hoodie,
52,purple_none_longsleeve,lightblue_none_shortskirt,,gray_none_cardigan,
53,purple_none_longsleeve,lightblue_none_shortskirt,,black_none_hoodie,
54,purple_none_longsleeve,lightblue_none_shortskirt,,black_none_cardigan,
55,purple_none_longsleeve,lightblue_none_shortskirt,,black_none_ma1,
56,purple_none_longsleeve,lightblue_none_shortskirt,,black_none_blazer,
57,purple_none_longsleeve,lightblue_none_shortskirt,,blue_none_jacket,
58,purple_none_longsleeve,lightblue_none_shortskirt,,brown_none_hoodie,
59,purple_none_longsleeve,lightblue_none_shortskirt,,khaki_none_ma1,
60,purple_none_longsleeve,black_none_shortskirt,,gray_none_blazer,
61,purple_none_longsleeve,black_none_shortskirt,,brown_none_cardigan,
62,purple_none_longsleeve,black_none_shortskirt,,black_none_riderjacket,
63,purple_none_longsleeve,black_none_shortskirt,,gray_none_hoodie,
64,purple_none_longsleeve,black_none_shortskirt,,gray_none_cardigan,
65,purple_none_longsleeve,black_none_shortskirt,,black_none_hoodie,
66,purple_none_longsleeve,black_none_shortskirt,,black_none_cardigan,
67,purple_none_longsleeve,black_none_shortskirt,,black_none_ma1,
68,purple_none_longsleeve,black_none_shortskirt,,black_none_blazer,
69,purple_none_longsleeve,black_none_shortskirt,,blue_none_jacket,
70,purple_none_longsleeve,black_none_shortskirt,,brown_none_hoodie,
71,purple_none_longsleeve,black_none_shortskirt,,khaki_none_ma1,
72,purple_none_longsleeve,blue_none_shortskirt,,gray_none_blazer,
73,purple_none_longsleeve,blue_none_shortskirt,,brown_none_cardigan,
74,purple_none_longsleeve,blue_none_shortskirt,,black_none_riderjacket,
75,purple_none_longsleeve,blue_none_shortskirt,,gray_none_hoodie,
76,purple_none_longsleeve,blue_none_shortskirt,,gray_none_cardigan,
77,purple_none_longsleeve,blue_none_shortskirt,,black_none_hoodie,
78,purple_none_longsleeve,blue_none_shortskirt,,black_none_cardigan,
79,purple_none_longsleeve,blue_none_shortskirt,,black_none_ma1,
