,top,bottom,dress,outer
0,purple_none_longsleeve,beige_none_longskirt,,black_none_vest
1,purple_none_longsleeve,beige_none_longskirt,,brown_none_cardigan
2,purple_none_longsleeve,beige_none_longskirt,,gray_none_vest
3,purple_none_longsleeve,beige_none_longskirt,,gray_none_hoodie
4,purple_none_longsleeve,beige_none_longskirt,,gray_none_cardigan
5,purple_none_longsleeve,beige_none_longskirt,,blue_none_jacketblack_none_cardigan
6,purple_none_longsleeve,beige_none_longskirt,,black_none_hoodie
7,purple_none_longsleeve,beige_none_longskirt,,brown_none_hoodie
8,purple_none_longsleeve,lightblue_none_longpants,,black_none_vest
9,purple_none_longsleeve,lightblue_none_longpants,,brown_none_cardigan
10,purple_none_longsleeve,lightblue_none_longpants,,gray_none_vest
11,purple_none_longsleeve,lightblue_none_longpants,,gray_none_hoodie
12,purple_none_longsleeve,lightblue_none_longpants,,gray_none_cardigan
13,purple_none_longsleeve,lightblue_none_longpants,,blue_none_jacketblack_none_cardigan
14,purple_none_longsleeve,lightblue_none_longpants,,black_none_hoodie
15,purple_none_longsleeve,lightblue_none_longpants,,brown_none_hoodie
16,purple_none_longsleeve,black_none_adidaslongpants,,black_none_vest
17,purple_none_longsleeve,black_none_adidaslongpants,,brown_none_cardigan
18,purple_none_longsleeve,black_none_adidaslongpants,,gray_none_vest
19,purple_none_longsleeve,black_none_adidaslongpants,,gray_none_hoodie
20,purple_none_longsleeve,black_none_adidaslongpants,,gray_none_cardigan
21,purple_none_longsleeve,black_none_adidaslongpants,,blue_none_jacketblack_none_cardigan
22,purple_none_longsleeve,black_none_adidaslongpants,,black_none_hoodie
23,purple_none_longsleeve,black_none_adidaslongpants,,brown_none_hoodie
24,purple_none_longsleeve,black_none_longskirt,,black_none_vest
25,purple_none_longsleeve,black_none_longskirt,,brown_none_cardigan
26,purple_none_longsleeve,black_none_longskirt,,gray_none_vest
27,purple_none_longsleeve,black_none_longskirt,,gray_none_hoodie
28,purple_none_longsleeve,black_none_longskirt,,gray_none_cardigan
29,purple_none_longsleeve,black_none_longskirt,,blue_none_jacketblack_none_cardigan
30,purple_none_longsleeve,black_none_longskirt,,black_none_hoodie
31,purple_none_longsleeve,black_none_longskirt,,brown_none_hoodie
32,purple_none_longsleeve,lightblue_none_shortskirt,,black_none_vest
33,purple_none_longsleeve,lightblue_none_shortskirt,,brown_none_cardigan
34,purple_none_longsleeve,lightblue_none_shortskirt,,gray_none_vest
35,purple_none_longsleeve,lightblue_none_shortskirt,,gray_none_hoodie
36,purple_none_longsleeve,lightblue_none_shortskirt,,gray_none_cardigan
37,purple_none_longsleeve,lightblue_none_shortskirt,,blue_none_jacketblack_none_cardigan
38,purple_none_longsleeve,lightblue_none_shortskirt,,black_none_hoodie
39,purple_none_longsleeve,lightblue_none_shortskirt,,brown_none_hoodie
40,purple_none_longsleeve,black_none_shortskirt,,black_none_vest
41,purple_none_longsleeve,black_none_shortskirt,,brown_none_cardigan
42,purple_none_longsleeve,black_none_shortskirt,,gray_none_vest
43,purple_none_longsleeve,black_none_shortskirt,,gray_none_hoodie
44,purple_none_longsleeve,black_none_shortskirt,,gray_none_cardigan
45,purple_none_longsleeve,black_none_shortskirt,,blue_none_jacketblack_none_cardigan
46,purple_none_longsleeve,black_none_shortskirt,,black_none_hoodie
47,purple_none_longsleeve,black_none_shortskirt,,brown_none_hoodie
48,purple_none_longsleeve,blue_none_shortskirt,,black_none_vest
49,purple_none_longsleeve,blue_none_shortskirt,,brown_none_cardigan
