,top,bottom,dress,outer
0,gray_none_shortsleeve,gray_none_shortpants,,
1,gray_none_shortsleeve,beige_none_shortpants,,
2,gray_none_shortsleeve,red_none_shortpants,,
3,gray_none_shortsleeve,beige_none_longskirt,,
4,gray_none_shortsleeve,blue_none_shortpants,,
5,gray_none_shortsleeve,black_none_longskirt,,
6,gray_none_shortsleeve,lightblue_none_shortskirt,,
7,gray_none_shortsleeve,black_none_shortskirt,,
8,gray_none_shortsleeve,blue_none_shortskirt,,
9,gray_none_shortsleeve,lightblue_none_longskirt,,
10,gray_none_shortsleeve,white_none_shortskirt,,
11,gray_none_shortsleeve,white_none_longskirt,,
12,gray_none_shortsleeve,beige_none_shortskirt,,
13,gray_none_shortsleeve,black_none_shortpants,,
14,gray_none_shortsleeve,white_none_shortpants,,
15,gray_none_shortsleeve,black_none_adidasshortpants,,
16,gray_none_shortsleeve,lightblue_none_shortpants,,
17,gray_none_shortsleeve,blue_none_longskirt,,
18,white_none_sleeveless,gray_none_shortpants,,
19,white_none_sleeveless,beige_none_shortpants,,
20,white_none_sleeveless,red_none_shortpants,,
21,white_none_sleeveless,beige_none_longskirt,,
22,white_none_sleeveless,blue_none_shortpants,,
23,white_none_sleeveless,black_none_longskirt,,
24,white_none_sleeveless,lightblue_none_shortskirt,,
25,white_none_sleeveless,black_none_shortskirt,,
26,white_none_sleeveless,blue_none_shortskirt,,
27,white_none_sleeveless,lightblue_none_longskirt,,
28,white_none_sleeveless,white_none_shortskirt,,
29,white_none_sleeveless,white_none_longskirt,,
30,white_none_sleeveless,beige_none_shortskirt,,
31,white_none_sleeveless,black_none_shortpants,,
32,white_none_sleeveless,white_none_shortpants,,
33,white_none_sleeveless,black_none_adidasshortpants,,
34,white_none_sleeveless,lightblue_none_shortpants,,
35,white_none_sleeveless,blue_none_longskirt,,
36,yellow_check_shortshirt,gray_none_shortpants,,
37,yellow_check_shortshirt,beige_none_shortpants,,
38,yellow_check_shortshirt,red_none_shortpants,,
39,yellow_check_shortshirt,beige_none_longskirt,,
40,yellow_check_shortshirt,blue_none_shortpants,,
41,yellow_check_shortshirt,black_none_longskirt,,
42,yellow_check_shortshirt,lightblue_none_shortskirt,,
43,yellow_check_shortshirt,black_none_shortskirt,,
44,yellow_check_shortshirt,blue_none_shortskirt,,
45,yellow_check_shortshirt,lightblue_none_longskirt,,
46,yellow_check_shortshirt,white_none_shortskirt,,
47,yellow_check_shortshirt,white_none_longskirt,,
48,yellow_check_shortshirt,beige_none_shortskirt,,
49,yellow_check_shortshirt,black_none_shortpants,,
50,yellow_check_shortshirt,white_none_shortpants,,
51,yellow_check_shortshirt,black_none_adidasshortpants,,
52,yellow_check_shortshirt,lightblue_none_shortpants,,
53,yellow_check_shortshirt,blue_none_longskirt,,
54,black_none_sleeveless,gray_none_shortpants,,
55,black_none_sleeveless,beige_none_shortpants,,
56,black_none_sleeveless,red_none_shortpants,,
57,black_none_sleeveless,beige_none_longskirt,,
58,black_none_sleeveless,blue_none_shortpants,,
59,black_none_sleeveless,black_none_longskirt,,
60,black_none_sleeveless,lightblue_none_shortskirt,,
61,black_none_sleeveless,black_none_shortskirt,,
62,black_none_sleeveless,blue_none_shortskirt,,
63,black_none_sleeveless,lightblue_none_longskirt,,
64,black_none_sleeveless,white_none_shortskirt,,
65,black_none_sleeveless,white_none_longskirt,,
66,black_none_sleeveless,beige_none_shortskirt,,
67,black_none_sleeveless,black_none_shortpants,,
68,black_none_sleeveless,white_none_shortpants,,
69,black_none_sleeveless,black_none_adidasshortpants,,
70,black_none_sleeveless,lightblue_none_shortpants,,
71,black_none_sleeveless,blue_none_longskirt,,
72,cnone_flower_shortshirt,gray_none_shortpants,,
73,cnone_flower_shortshirt,beige_none_shortpants,,
74,cnone_flower_shortshirt,red_none_shortpants,,
75,cnone_flower_shortshirt,beige_none_longskirt,,
76,cnone_flower_shortshirt,blue_none_shortpants,,
77,cnone_flower_shortshirt,black_none_longskirt,,
78,cnone_flower_shortshirt,lightblue_none_shortskirt,,
79,cnone_flower_shortshirt,black_none_shortskirt,,
80,cnone_flower_shortshirt,blue_none_shortskirt,,
81,cnone_flower_shortshirt,lightblue_none_longskirt,,
82,cnone_flower_shortshirt,white_none_shortskirt,,
83,cnone_flower_shortshirt,white_none_longskirt,,
84,cnone_flower_shortshirt,beige_none_shortskirt,,
85,cnone_flower_shortshirt,black_none_shortpants,,
86,cnone_flower_shortshirt,white_none_shortpants,,
87,cnone_flower_shortshirt,black_none_adidasshortpants,,
88,cnone_flower_shortshirt,lightblue_none_shortpants,,
89,cnone_flower_shortshirt,blue_none_longskirt,,
90,blue_check_shortshirt,gray_none_shortpants,,
91,blue_check_shortshirt,beige_none_shortpants,,
92,blue_check_shortshirt,red_none_shortpants,,
93,blue_check_shortshirt,beige_none_longskirt,,
94,blue_check_shortshirt,blue_none_shortpants,,
95,blue_check_shortshirt,black_none_longskirt,,
96,blue_check_shortshirt,lightblue_none_shortskirt,,
97,blue_check_shortshirt,black_none_shortskirt,,
98,blue_check_shortshirt,blue_none_shortskirt,,
99,blue_check_shortshirt,lightblue_none_longskirt,,
100,blue_check_shortshirt,white_none_shortskirt,,
101,blue_check_shortshirt,white_none_longskirt,,
102,blue_check_shortshirt,beige_none_shortskirt,,
103,blue_check_shortshirt,black_none_shortpants,,
104,blue_check_shortshirt,white_none_shortpants,,
105,blue_check_shortshirt,black_none_adidasshortpants,,
106,blue_check_shortshirt,lightblue_none_shortpants,,
107,blue_check_shortshirt,blue_none_longskirt,,
108,red_none_shortsleeve,gray_none_shortpants,,
109,red_none_shortsleeve,beige_none_shortpants,,
110,red_none_shortsleeve,red_none_shortpants,,
111,red_none_shortsleeve,beige_none_longskirt,,
112,red_none_shortsleeve,blue_none_shortpants,,
113,red_none_shortsleeve,black_none_longskirt,,
114,red_none_shortsleeve,lightblue_none_shortskirt,,
115,red_none_shortsleeve,black_none_shortskirt,,
116,red_none_shortsleeve,blue_none_shortskirt,,
117,red_none_shortsleeve,lightblue_none_longskirt,,
118,red_none_shortsleeve,white_none_shortskirt,,
119,red_none_shortsleeve,white_none_longskirt,,
120,red_none_shortsleeve,beige_none_shortskirt,,
121,red_none_shortsleeve,black_none_shortpants,,
122,red_none_shortsleeve,white_none_shortpants,,
123,red_none_shortsleeve,black_none_adidasshortpants,,
124,red_none_shortsleeve,lightblue_none_shortpants,,
125,red_none_shortsleeve,blue_none_longskirt,,
126,pink_none_shortsleeve,gray_none_shortpants,,
127,pink_none_shortsleeve,beige_none_shortpants,,
128,pink_none_shortsleeve,red_none_shortpants,,
129,pink_none_shortsleeve,beige_none_longskirt,,
130,pink_none_shortsleeve,blue_none_shortpants,,
131,pink_none_shortsleeve,black_none_longskirt,,
132,pink_none_shortsleeve,lightblue_none_shortskirt,,
133,pink_none_shortsleeve,black_none_shortskirt,,
134,pink_none_shortsleeve,blue_none_shortskirt,,
135,pink_none_shortsleeve,lightblue_none_longskirt,,
136,pink_none_shortsleeve,white_none_shortskirt,,
137,pink_none_shortsleeve,white_none_longskirt,,
138,pink_none_shortsleeve,beige_none_shortskirt,,
139,pink_none_shortsleeve,black_none_shortpants,,
140,pink_none_shortsleeve,white_none_shortpants,,
141,pink_none_shortsleeve,black_none_adidasshortpants,,
142,pink_none_shortsleeve,lightblue_none_shortpants,,
143,pink_none_shortsleeve,blue_none_longskirt,,
144,red_check_shortshirt,gray_none_shortpants,,
145,red_check_shortshirt,beige_none_shortpants,,
146,red_check_shortshirt,red_none_shortpants,,
147,red_check_shortshirt,beige_none_longskirt,,
148,red_check_shortshirt,blue_none_shortpants,,
149,red_check_shortshirt,black_none_longskirt,,
150,red_check_shortshirt,lightblue_none_shortskirt,,
151,red_check_shortshirt,black_none_shortskirt,,
152,red_check_shortshirt,blue_none_shortskirt,,
153,red_check_shortshirt,lightblue_none_longskirt,,
154,red_check_shortshirt,white_none_shortskirt,,
155,red_check_shortshirt,white_none_longskirt,,
156,red_check_shortshirt,beige_none_shortskirt,,
157,red_check_shortshirt,black_none_shortpants,,
158,red_check_shortshirt,white_none_shortpants,,
159,red_check_shortshirt,black_none_adidasshortpants,,
160,red_check_shortshirt,lightblue_none_shortpants,,
161,red_check_shortshirt,blue_none_longskirt,,
162,white_nike_shortsleeve,gray_none_shortpants,,
163,white_nike_shortsleeve,beige_none_shortpants,,
164,white_nike_shortsleeve,red_none_shortpants,,
165,white_nike_shortsleeve,beige_none_longskirt,,
166,white_nike_shortsleeve,blue_none_shortpants,,
167,white_nike_shortsleeve,black_none_longskirt,,
168,white_nike_shortsleeve,lightblue_none_shortskirt,,
169,white_nike_shortsleeve,black_none_shortskirt,,
