,top,bottom,dress,outer,vest,outer2
0,purple_none_longsleeve,beige_none_longskirt,,gray_none_coat,,
1,purple_none_longsleeve,beige_none_longskirt,,black_none_coat,,
2,purple_none_longsleeve,beige_none_longskirt,,brown_none_coat,,
3,purple_none_longsleeve,beige_none_longskirt,,black_none_parka,,
4,purple_none_longsleeve,beige_none_longskirt,,white_none_parka,,
5,purple_none_longsleeve,lightblue_none_longpants,,gray_none_coat,,
6,purple_none_longsleeve,lightblue_none_longpants,,black_none_coat,,
7,purple_none_longsleeve,lightblue_none_longpants,,brown_none_coat,,
8,purple_none_longsleeve,lightblue_none_longpants,,black_none_parka,,
9,purple_none_longsleeve,lightblue_none_longpants,,white_none_parka,,
10,purple_none_longsleeve,black_none_adidaslongpants,,gray_none_coat,,
11,purple_none_longsleeve,black_none_adidaslongpants,,black_none_coat,,
12,purple_none_longsleeve,black_none_adidaslongpants,,brown_none_coat,,
13,purple_none_longsleeve,black_none_adidaslongpants,,black_none_parka,,
14,purple_none_longsleeve,black_none_adidaslongpants,,white_none_parka,,
15,purple_none_longsleeve,black_none_longskirt,,gray_none_coat,,
16,purple_none_longsleeve,black_none_longskirt,,black_none_coat,,
17,purple_none_longsleeve,black_none_longskirt,,brown_none_coat,,
18,purple_none_longsleeve,black_none_longskirt,,black_none_parka,,
19,purple_none_longsleeve,black_none_longskirt,,white_none_parka,,
20,purple_none_longsleeve,beige_none_longpants,,gray_none_coat,,
21,purple_none_longsleeve,beige_none_longpants,,black_none_coat,,
22,purple_none_longsleeve,beige_none_longpants,,brown_none_coat,,
23,purple_none_longsleeve,beige_none_longpants,,black_none_parka,,
24,purple_none_longsleeve,beige_none_longpants,,white_none_parka,,
25,purple_none_longsleeve,black_none_longpants,,gray_none_coat,,
26,purple_none_longsleeve,black_none_longpants,,black_none_coat,,
27,purple_none_longsleeve,black_none_longpants,,brown_none_coat,,
28,purple_none_longsleeve,black_none_longpants,,black_none_parka,,
29,purple_none_longsleeve,black_none_longpants,,white_none_parka,,
30,purple_none_longsleeve,black_none_joggerpants,,gray_none_coat,,
31,purple_none_longsleeve,black_none_joggerpants,,black_none_coat,,
32,purple_none_longsleeve,black_none_joggerpants,,brown_none_coat,,
33,purple_none_longsleeve,black_none_joggerpants,,black_none_parka,,
34,purple_none_longsleeve,black_none_joggerpants,,white_none_parka,,
35,purple_none_longsleeve,lightblue_none_longskirt,,gray_none_coat,,
36,purple_none_longsleeve,lightblue_none_longskirt,,black_none_coat,,
37,purple_none_longsleeve,lightblue_none_longskirt,,brown_none_coat,,
38,purple_none_longsleeve,lightblue_none_longskirt,,black_none_parka,,
39,purple_none_longsleeve,lightblue_none_longskirt,,white_none_parka,,
40,purple_none_longsleeve,blue_none_longpants,,gray_none_coat,,
41,purple_none_longsleeve,blue_none_longpants,,black_none_coat,,
42,purple_none_longsleeve,blue_none_longpants,,brown_none_coat,,
43,purple_none_longsleeve,blue_none_longpants,,black_none_parka,,
44,purple_none_longsleeve,blue_none_longpants,,white_none_parka,,
45,purple_none_longsleeve,gray_none_longpants,,gray_none_coat,,
46,purple_none_longsleeve,gray_none_longpants,,black_none_coat,,
