,top,bottom,dress,outer,vest,outer2
0,purple_none_longsleeve,beige_none_longskirt,,gray_none_coat,,
1,purple_none_longsleeve,beige_none_longskirt,,black_none_riderjacket,,
2,purple_none_longsleeve,beige_none_longskirt,,black_none_coat,,
3,purple_none_longsleeve,beige_none_longskirt,,brown_none_coat,,
4,purple_none_longsleeve,beige_none_longskirt,,black_none_parka,,
5,purple_none_longsleeve,beige_none_longskirt,,white_none_parka,,
6,purple_none_longsleeve,lightblue_none_longpants,,gray_none_coat,,
7,purple_none_longsleeve,lightblue_none_longpants,,black_none_riderjacket,,
8,purple_none_longsleeve,lightblue_none_longpants,,black_none_coat,,
9,purple_none_longsleeve,lightblue_none_longpants,,brown_none_coat,,
10,purple_none_longsleeve,lightblue_none_longpants,,black_none_parka,,
11,purple_none_longsleeve,lightblue_none_longpants,,white_none_parka,,
12,purple_none_longsleeve,black_none_adidaslongpants,,gray_none_coat,,
13,purple_none_longsleeve,black_none_adidaslongpants,,black_none_riderjacket,,
14,purple_none_longsleeve,black_none_adidaslongpants,,black_none_coat,,
15,purple_none_longsleeve,black_none_adidaslongpants,,brown_none_coat,,
16,purple_none_longsleeve,black_none_adidaslongpants,,black_none_parka,,
17,purple_none_longsleeve,black_none_adidaslongpants,,white_none_parka,,
18,purple_none_longsleeve,black_none_longskirt,,gray_none_coat,,
19,purple_none_longsleeve,black_none_longskirt,,black_none_riderjacket,,
20,purple_none_longsleeve,black_none_longskirt,,black_none_coat,,
21,purple_none_longsleeve,black_none_longskirt,,brown_none_coat,,
22,purple_none_longsleeve,black_none_longskirt,,black_none_parka,,
23,purple_none_longsleeve,black_none_longskirt,,white_none_parka,,
24,purple_none_longsleeve,beige_none_longpants,,gray_none_coat,,
25,purple_none_longsleeve,beige_none_longpants,,black_none_riderjacket,,
26,purple_none_longsleeve,beige_none_longpants,,black_none_coat,,
27,purple_none_longsleeve,beige_none_longpants,,brown_none_coat,,
28,purple_none_longsleeve,beige_none_longpants,,black_none_parka,,
29,purple_none_longsleeve,beige_none_longpants,,white_none_parka,,
30,purple_none_longsleeve,black_none_longpants,,gray_none_coat,,
31,purple_none_longsleeve,black_none_longpants,,black_none_riderjacket,,
32,purple_none_longsleeve,black_none_longpants,,black_none_coat,,
33,purple_none_longsleeve,black_none_longpants,,brown_none_coat,,
34,purple_none_longsleeve,black_none_longpants,,black_none_parka,,
35,purple_none_longsleeve,black_none_longpants,,white_none_parka,,
36,purple_none_longsleeve,black_none_joggerpants,,gray_none_coat,,
37,purple_none_longsleeve,black_none_joggerpants,,black_none_riderjacket,,
38,purple_none_longsleeve,black_none_joggerpants,,black_none_coat,,
39,purple_none_longsleeve,black_none_joggerpants,,brown_none_coat,,
40,purple_none_longsleeve,black_none_joggerpants,,black_none_parka,,
41,purple_none_longsleeve,black_none_joggerpants,,white_none_parka,,
42,purple_none_longsleeve,lightblue_none_longskirt,,gray_none_coat,,
43,purple_none_longsleeve,lightblue_none_longskirt,,black_none_riderjacket,,
44,purple_none_longsleeve,lightblue_none_longskirt,,black_none_coat,,
45,purple_none_longsleeve,lightblue_none_longskirt,,brown_none_coat,,
46,purple_none_longsleeve,lightblue_none_longskirt,,black_none_parka,,
